name,prompt,negative_prompt,description,category
ACCESSORY_SFW_Wings,"(large wings:1.3), feathered wings, angel wings, demon wings, dragon wings, spread wings, wings framing figure","no wings, plain back",Wings accessory. Combos: RACE_SFW_Angel; RACE_SFW_Demon_Girl; ACTIVITY_SFW_Gazing_Horizon. Adds strong visual silhouette.,ACCESSORIES
ACTIVITY_SFW_Cooking,"(cooking:1.2), kitchen activity, holding ladle or spatula, apron, mixing bowl, culinary, food preparation","outdoor battle, fantasy",Cooking activity. Combos: ARCHETYPE_Maid; OUTFIT_Casual; SCENE_Kitchen. Conflicts: ACTIVITY_Fighting_Pose.,ACTIVITY
ACTIVITY_SFW_Dancing,"(dancing:1.3), dynamic dance pose, flowing movement, arms raised, hair flowing, mid-dance, graceful motion","static, sitting, sleeping, stiff pose",Dance pose. Combos: ARCHETYPE_Idol; OUTFIT_Evening_Dress; LIGHTING_Neon_Colorful. Conflicts: ACTIVITY_Sitting_Relaxed.,ACTIVITY
ACTIVITY_SFW_Fighting_Pose,"(battle pose:1.3), combat stance, sword raised, dynamic action, mid-battle, weapon in hand, heroic action pose","sitting, relaxed, cooking, reading",Combat action pose. Combos: ARCHETYPE_Warrior; ARCHETYPE_Kunoichi; MOOD_Fierce. Conflicts: ACTIVITY_Sitting_Relaxed.,ACTIVITY
ACTIVITY_SFW_Gaming,"playing video games, (controller in hands:1.2), gamer, focused on screen, headset optional, sitting cross-legged","outdoor, nature, dancing",Gaming activity. Combos: OUTFIT_Casual; MOOD_Playful; SCENE_Bedroom. Conflicts: ACTIVITY_Fighting_Pose.,ACTIVITY
ACTIVITY_SFW_Gazing_Horizon,"looking into the distance, (contemplative pose:1.2), hand shielding eyes, wind in hair, standing at edge, vista view","indoor, sitting still, reading",Cinematic vista gaze. Combos: SCENE_Mountain_Top; LIGHTING_Golden_Hour_Sunset; MOOD_Melancholic. Universal BODY.,ACTIVITY
ACTIVITY_SFW_Magic_Casting,"(magic casting:1.3), spell circle, magical energy, glowing hands, arcane symbols, mystical aura, channeling power","mundane activity, cooking, gaming",Spellcasting. Combos: ARCHETYPE_Witch; ARCHETYPE_Magical_Girl; LIGHTING_Volumetric_Rays. Conflicts: ACTIVITY_Cooking.,ACTIVITY
ACTIVITY_SFW_Painting,"(painting:1.2), artist at easel, paintbrush in hand, canvas, palette, art studio, paint smudges, creating artwork, artist at work","gaming, fighting, cooking",Painting/art activity. Combos: SCENE_SFW_Art_Studio; ARCHETYPE_SFW_Artist; OUTFIT_SFW_Casual with apron.,ACTIVITY
ACTIVITY_SFW_Reading,"reading a book, (book in hands:1.2), sitting with book, open book, studious, glasses optional, cozy reading pose","dancing, fighting, dynamic pose",Reading pose. Combos: OUTFIT_Casual; MOOD_Serene; SCENE_Library; SEASON_Autumn_Leaves. Conflicts: ACTIVITY_Fighting_Pose.,ACTIVITY
ACTIVITY_SFW_Running,"(running:1.3), mid-sprint, dynamic run pose, hair flying back, motion blur implied, energetic, athletic movement","sitting, still, static pose",Running action. Combos: OUTFIT_Sportswear; BODY_Muscular_Fit; SCENE_Forest_Outdoor. Conflicts: ACTIVITY_Sitting_Relaxed.,ACTIVITY
ACTIVITY_SFW_Singing,"(singing:1.3), performing a song, microphone, mouth open singing, eyes closed while singing, musical performance, concert singing, passionate singing","silent, reading, gaming",Singing performance. Combos: ARCHETYPE_SFW_Idol; ARCHETYPE_SFW_Rockstar; SCENE_SFW_Stage_Performance.,ACTIVITY
ACTIVITY_SFW_Sitting_Relaxed,"sitting, (relaxed pose:1.2), comfortable seated position, legs crossed, casual sitting, at ease, resting","dynamic, fighting, dancing, running",Calm seated pose. Combos: MOOD_Serene; OUTFIT_Casual; SCENE_Cafe. Conflicts: ACTIVITY_Fighting_Pose.,ACTIVITY
ACTIVITY_SFW_Sleeping,"(sleeping:1.2), asleep, peaceful sleep, curled up sleeping, eyes closed, resting, cozy sleep, pillow, sleeping soundly","standing, active, running, fighting",Sleeping/resting. Combos: SCENE_SFW_Bedroom; OUTFIT_SFW_Oversized_Hoodie; MOOD_SFW_Serene. Cozy atmosphere.,ACTIVITY
ACTIVITY_SFW_Stretching,"(stretching:1.2), yoga pose, flexible pose, split stretch, reaching forward, limber, warm-up pose, gymnastic","stiff, rigid, sitting still",Stretch / yoga. Combos: OUTFIT_Sportswear; BODY_Muscular_Fit; SCENE_Gym. Conflicts: ACTIVITY_Reading.,ACTIVITY
ACTIVITY_SFW_Swimming,"(swimming:1.2), underwater, swimmer, water splash, floating in water, backstroke, pool, ocean swimming, submerged","indoor dry, desert, winter cold",Swimming activity. Combos: SCENE_SFW_Hot_Spring; LIGHTING_SFW_Underwater; OUTFIT_SFW_Swimwear.,ACTIVITY
ARCHETYPE_SFW_Alchemist,"1girl, alchemist, (alchemist robe:1.2), potion bottles, mortar and pestle, mystical ingredients, alchemy lab, apron, glowing potions, flask","modern, casual, office",Alchemist archetype. Combos: ERA_SFW_Steampunk; SCENE_SFW_Library; LIGHTING_SFW_Candlelight. Conflicts: ARCHETYPE_SFW_Nurse.,ARCHETYPE
ARCHETYPE_SFW_Aristocrat_Noble,"1girl, noblewoman, aristocrat, (ornate gown:1.3), elbow gloves, (noble bearing:1.2), fan in hand, jeweled accessories, powdered wig optional, upper class attire, refined posture","peasant, casual, modern, sporty",Aristocrat noblewoman. Combos: SCENE_SFW_Ballroom; MOOD_SFW_Elegant; OUTFIT_SFW_Evening_Dress; ERA_SFW_Victorian. Conflicts: ARCHETYPE_SFW_Mechanic_Engineer.,ARCHETYPE
ARCHETYPE_SFW_Assassin,"1girl, assassin, (dark hood:1.2), hidden blades, dark cloak, stealth outfit, rogue attire, shadow operative, masked lower face","bright, colorful, casual, maid",Assassin/rogue. Combos: LIGHTING_SFW_Dim_Dark; SCENE_SFW_Rooftop_Night; MOOD_SFW_Mysterious.,ARCHETYPE
ARCHETYPE_SFW_Bunny_Girl,"1girl, bunny ears, bunny girl outfit, leotard, fishnet stockings, bowtie, wrist cuffs, high heels, bunny tail","male, boy, no ears, casual",Bunny girl hostess. Combos: SCENE_Casino_Club; LIGHTING_Neon_Colorful; MOOD_Playful. Conflicts: ARCHETYPE_Warrior.,ARCHETYPE
ARCHETYPE_SFW_Catgirl,"1girl, cat ears, cat tail, nekomimi, (collar:1.2), feline features, cat-like eyes, paws optional, kemonomimi","male, boy, dog ears, wolf ears, no tail",Catgirl. Combos: MOOD_Playful; OUTFIT_Casual; ACTIVITY_Sitting_Relaxed; COMPANION_Cat. Conflicts: ARCHETYPE_Warrior.,ARCHETYPE
ARCHETYPE_SFW_Cheerleader,"1girl, cheerleader, (pom poms:1.2), short cheer skirt, team uniform, athletic top, sports colors, energetic pose","male, boy, dark clothes, nun, warrior",Cheerleader. Combos: ACTIVITY_Dancing; MOOD_Playful; SCENE_Sports_Field. Conflicts: ARCHETYPE_Nun.,ARCHETYPE
ARCHETYPE_SFW_Demon_Queen,"1girl, demon queen, dark crown, (dark armor:1.2), large dark wings, glowing red or purple eyes, imposing presence, dark cape, queen of darkness","male, boy, angel, pastel colors, cute",Dark queen archetype. Combos: SCENE_Throne_Room; LIGHTING_Dramatic_Shadow; MOOD_Confident; BODY_Tall_Elegant. Conflicts: ARCHETYPE_Magical_Girl.,ARCHETYPE
ARCHETYPE_SFW_Detective,"1girl, detective, (detective coat:1.2), magnifying glass, fedora optional, trench coat, investigator, noir detective, badge, sharp eyes","fantasy, armor, bright casual",Detective archetype. Combos: PALETTE_SFW_Monochrome_Noir; LIGHTING_SFW_Dramatic_Shadow; SCENE_SFW_City_Street_Night. Conflicts: ARCHETYPE_SFW_Idol.,ARCHETYPE
ARCHETYPE_SFW_Elf_Ranger,"1girl, elf, pointy ears, ranger outfit, leather armor, bow and arrow, (forest attire:1.2), quiver, hood, elven jewelry","male, boy, round ears, heavy armor, modern clothes",Elf archer/ranger. Combos: SCENE_Forest_Outdoor; LIGHTING_Golden_Hour_Sunset; RACE_Elf_Female. Conflicts: ARCHETYPE_Office_Lady.,ARCHETYPE
ARCHETYPE_SFW_Fairy,"1girl, fairy, (tiny fairy wings:1.3), small size, fairy dust, flower petal dress, magical fairy, glowing wings, nature fairy, pixie","large, human-sized, armor, modern",Fairy archetype. Combos: SCENE_SFW_Forest_Outdoor; ATMOSPHERE_SFW_Magical_Sparkles; SEASON_SFW_Spring_Cherry.,ARCHETYPE
ARCHETYPE_SFW_Fortune_Teller,"1girl, fortune teller, (crystal ball:1.3), mystic veil, tarot cards, mysterious robes, henna, coin jewelry, mystical gaze, tent backdrop","modern, casual, armor",Fortune teller. Combos: MOOD_SFW_Mysterious; LIGHTING_SFW_Candlelight; PALETTE_SFW_Warm_Earth.,ARCHETYPE
ARCHETYPE_SFW_Hacker_Netrunner,"1girl, hacker, netrunner, (glowing neural implants:1.2), holographic displays, wired headset, typing on holographic keyboard, cyberpunk techwear, (data streams:1.1)","fantasy, medieval, casual, no tech",Cyberpunk hacker archetype. Combos: SCENE_SFW_Cyberpunk_City; OUTFIT_SFW_Cyberpunk; LIGHTING_SFW_Neon_Purple_Pink. Conflicts: ARCHETYPE_SFW_Warrior.,ARCHETYPE
ARCHETYPE_SFW_Idol,"1girl, idol, (colorful stage outfit:1.2), microphone, sparkling costume, glitter, bow accessories, cute performer, stage presence","male, boy, dark clothes, gothic, grim",J-pop idol. Combos: LIGHTING_Neon_Colorful; SCENE_Stage_Performance; MOOD_Playful; ACTIVITY_Dancing. Conflicts: ARCHETYPE_Demon_Queen.,ARCHETYPE
ARCHETYPE_SFW_Knight,"1girl, female knight, (plate armor:1.3), sword and shield, paladin, holy knight, armored knight, heroic knight, full plate armor, visor optional","casual, fantasy robe, modern",Knight/paladin. Combos: SCENE_SFW_Fantasy_Ruins; MOOD_SFW_Determined; LIGHTING_SFW_Volumetric_Rays. Conflicts: ARCHETYPE_SFW_Idol.,ARCHETYPE
ARCHETYPE_SFW_Kunoichi,"1girl, kunoichi, female ninja, (ninja outfit:1.2), black ninja garb, mask over lower face, arm guards, kunai, wrapped hands","male, boy, bright colors, maid, casual clothes",Female ninja. Combos: SCENE_Japanese_Night; LIGHTING_Night_Moonlit; BODY_Muscular_Fit; ACTIVITY_Fighting_Pose. Conflicts: ARCHETYPE_Maid.,ARCHETYPE
ARCHETYPE_SFW_Librarian,"1girl, librarian, (cardigan:1.2), books stacked, reading glasses, quiet demeanor, bun hairstyle, surrounded by books, library setting, bookish","fantasy, armor, loud, casual",Librarian archetype. Combos: SCENE_SFW_Library; MOOD_SFW_Mysterious; HAIR_SFW_Messy_Bun; ACCESSORY_SFW_Glasses.,ARCHETYPE
ARCHETYPE_SFW_Magical_Girl,"1girl, magical girl, (frilly costume:1.2), magical wand, transformation outfit, ribbons, stars, sparkles, pastel colors, heart accessories","male, boy, dark colors, grim, realistic",Magical girl / mahou shoujo. Combos: STYLE_Soft_Pastel; MOOD_Playful; LIGHTING_Volumetric_Rays. Conflicts: ARCHETYPE_Demon_Queen.,ARCHETYPE
ARCHETYPE_SFW_Maid,"1girl, maid outfit, frilly maid dress, white apron, maid headdress, black and white uniform, collar, long sleeves","male, boy, dirty, torn clothes, nude",Classic maid archetype. Combos: SCENE_Bedroom; MOOD_Playful; ACTIVITY_Cooking. Conflicts: ARCHETYPE_Kunoichi.,ARCHETYPE
ARCHETYPE_SFW_Mechanic_Engineer,"1girl, mechanic, engineer, (grease stains:1.2), overalls, work gloves, wrench in hand, goggles pushed up, industrial outfit, oil marks, utility belt","fantasy, clean, formal",Mechanic/engineer. Combos: SCENE industrial; MOOD_SFW_Confident; ERA_SFW_Steampunk (steam variant). Conflicts: ARCHETYPE_SFW_Idol.,ARCHETYPE
ARCHETYPE_SFW_Mermaid,"1girl, mermaid, (mermaid tail:1.3), scales, upper body clothed, seashell top, underwater, flowing hair, fin tail, aquatic beauty","legs, standing, land, dry",SFW mermaid. Combos: LIGHTING_SFW_Underwater; WEATHER_SFW_Heavy_Rain; ATMOSPHERE_SFW_Dust_Sunlight (adapt to caustics).,ARCHETYPE
ARCHETYPE_SFW_Nun,"1girl, nun, (religious habit:1.2), black and white habit, rosary, cross necklace, white wimple, modest clothing, church attire","male, boy, colorful clothes, fantasy armor",Nun archetype. Combos: SCENE_Cathedral; LIGHTING_Volumetric_Rays; MOOD_Mysterious. Conflicts: ARCHETYPE_Idol.,ARCHETYPE
ARCHETYPE_SFW_Nurse,"1girl, nurse, (nurse uniform:1.2), nurse cap, medical cross, stethoscope, hospital attire, nurse outfit, caring expression, scrubs optional","fantasy, armor, outdoor, casual",Nurse archetype. Combos: MOOD_SFW_Serene; LIGHTING_SFW_Bright_Clinical. Conflicts: ARCHETYPE_SFW_Warrior.,ARCHETYPE
ARCHETYPE_SFW_Office_Lady,"1girl, office lady, (business suit:1.2), pencil skirt, blazer, dress shirt, professional attire, heels, briefcase","male, boy, casual, fantasy, armor",Corporate professional. Combos: SCENE_Office; MOOD_Confident; BODY_Mature_Woman. Conflicts: ARCHETYPE_Maid.,ARCHETYPE
ARCHETYPE_SFW_Pirate_Captain,"1girl, female pirate captain, (tricorn hat:1.2), pirate coat, cutlass, pirate outfit, naval pirate, bandana, boots, seafaring attire","modern, office, school uniform",Pirate captain. Combos: MOOD_SFW_Confident; ERA_SFW_Victorian; WEATHER_SFW_Heavy_Rain for drama. Conflicts: ARCHETYPE_SFW_Nun.,ARCHETYPE
ARCHETYPE_SFW_Princess,"1girl, princess, (royal gown:1.2), tiara, princess attire, royal dress, elegant princess, castle background optional, graceful royalty","peasant, casual, modern, armor",Classic princess. Combos: SCENE_SFW_Throne_Room; OUTFIT_SFW_Evening_Dress; MOOD_SFW_Elegant. Conflicts: ARCHETYPE_SFW_Kunoichi.,ARCHETYPE
ARCHETYPE_SFW_Samurai,"1girl, female samurai, (samurai armor:1.2), katana, traditional japanese armor, do-maru armor, samurai attire, female warrior Japan","modern, western, casual",Female samurai. Combos: SCENE_SFW_Japanese_Night; ERA_SFW_Feudal_Japan; ACCESSORY_SFW_Katana. Conflicts: ARCHETYPE_SFW_Office_Lady.,ARCHETYPE
ARCHETYPE_SFW_Scientist,"1girl, scientist, (lab coat:1.2), test tubes, laboratory equipment, goggles on head, research equipment, beaker, (science lab:1.1), whiteboard","fantasy, armor, outdoor",Scientist/researcher. Combos: MOOD_SFW_Focused; ACCESSORY_SFW_Glasses; SCENE office/lab. Conflicts: ARCHETYPE_SFW_Warrior.,ARCHETYPE
ARCHETYPE_SFW_Shrine_Maiden,"1girl, miko, shrine maiden, (white haori:1.2), red hakama, ofuda, hair ribbon, traditional japanese clothing, tabi socks","male, boy, modern clothes, western outfit",Japanese miko. Combos: SCENE_Japanese_Night; LIGHTING_Night_Moonlit; MOOD_Mysterious. Conflicts: ARCHETYPE_Nun (similar but distinct).,ARCHETYPE
ARCHETYPE_SFW_Space_Pilot,"1girl, space pilot, (pilot suit:1.2), cockpit, spacesuit, astronaut, futuristic pilot, space academy uniform, helmet under arm, space ship","fantasy, medieval, traditional",Space pilot/astronaut. Combos: ERA_SFW_Retro_Futurism; OUTFIT_SFW_Cyberpunk; LIGHTING_SFW_Screen_Glow.,ARCHETYPE
ARCHETYPE_SFW_Succubus,"1girl, succubus, demon girl, (small horns:1.2), demon wings, spaded tail, dark elegant outfit, otherworldly beauty, glowing eyes","male, boy, angel, halo, bright wings",Succubus / demon girl. SFW variant — fully clothed. Combos: SCENE_Fantasy_Ruins; MOOD_Mysterious; LIGHTING_Neon_Purple_Pink. Conflicts: ARCHETYPE_Magical_Girl.,ARCHETYPE
ARCHETYPE_SFW_Teacher,"1girl, teacher, (formal teacher attire:1.2), pointer stick, glasses, chalkboard, lesson, stern but kind teacher, educator, school teacher","casual, fantasy, armor",Teacher archetype. Combos: SCENE_SFW_School_Classroom; ACCESSORY_SFW_Glasses; MOOD_SFW_Confident.,ARCHETYPE
ARCHETYPE_SFW_Warrior,"1girl, female warrior, (fantasy armor:1.2), pauldrons, gauntlets, sword, shield, battle-worn, heroic stance, cape","male, boy, modern clothes, maid, office worker",Fantasy warrior. Combos: SCENE_Fantasy_Ruins; MOOD_Determined; ACTIVITY_Fighting_Pose; RACE_Elf_Female. Conflicts: ARCHETYPE_Maid.,ARCHETYPE
ARCHETYPE_SFW_Witch,"1girl, witch, (witch hat:1.3), dark robe, spell book, broomstick, magic staff, crescent moon accessories, mysterious cloak","male, boy, no hat, modern clothes",Witch archetype. Combos: SCENE_Forest_Outdoor; LIGHTING_Night_Moonlit; MOOD_Mysterious; ACTIVITY_Magic_Casting. Conflicts: ARCHETYPE_Shrine_Maiden.,ARCHETYPE
ATMOSPHERE_SFW_Breath_Cold_Air,"breath visible in cold air, exhaled breath mist, cold breath cloud, winter breath condensation, freezing cold breath effect","warm, summer, tropical",Visible breath in cold. Combos: SEASON_SFW_Winter_Snow; WEATHER_SFW_Snowstorm; SCENE_SFW_Mountain_Top. Adds cold realism.,ATMOSPHERE
ATMOSPHERE_SFW_Confetti,"(confetti falling:1.3), colorful confetti, celebration confetti, paper confetti shower, festive confetti, party atmosphere, confetti stream","serious, dark, melancholic",Celebration confetti. Combos: ARCHETYPE_SFW_Idol; MOOD_SFW_Excited; SCENE_SFW_Stage_Performance.,ATMOSPHERE
ATMOSPHERE_SFW_Dust_Sunlight,"dust particles in sunlight, light shafts with dust, floating dust motes, sunbeam dust, golden dust particles, indoor sunbeam particles","clean, sterile, outdoor rain",Dust in sunbeams. Combos: LIGHTING_SFW_Volumetric_Rays; SCENE_SFW_Library; SCENE_SFW_Gothic_Castle. Adds depth and atmosphere.,ATMOSPHERE
ATMOSPHERE_SFW_Falling_Petals,"(falling petals:1.3), flower petals in air, drifting petals, scattered petals, wind-blown petals, petal shower, petals falling around character","dusty, mechanical, urban",Falling flower petals. Combos: SEASON_SFW_Spring_Cherry; SCENE_SFW_Japanese_Night; ARCHETYPE_SFW_Shrine_Maiden. Iconic romantic atmosphere.,ATMOSPHERE
ATMOSPHERE_SFW_Fire_Embers,"(floating embers:1.3), fire embers rising, burning sparks in air, glowing ember particles, campfire embers, fire sparks floating upward","rain, water, cold, snow",Fire ember particles. Combos: LIGHTING_SFW_Candlelight; SCENE_SFW_Gothic_Castle; ARCHETYPE_SFW_Warrior; MOOD_SFW_Fierce. Conflicts: WEATHER_SFW_Heavy_Rain.,ATMOSPHERE
ATMOSPHERE_SFW_Fireflies,"(fireflies:1.3), glowing fireflies, bioluminescent insects, firefly lights, summer night fireflies, floating light bugs, warm glow fireflies","urban, indoor, snow, rain",Firefly atmosphere. Combos: SCENE_SFW_Forest_Outdoor; TIME_SFW_Blue_Hour; MOOD_SFW_Dreamy; SEASON_SFW_Summer_Beach.,ATMOSPHERE
ATMOSPHERE_SFW_Magical_Sparkles,"(magical sparkles:1.3), glowing particles, arcane sparkles, floating light orbs, magical dust, glitter particles, enchanted atmosphere, shimmering magic","dark, gritty, industrial, realistic",Magical sparkle particles. Combos: ARCHETYPE_SFW_Magical_Girl; ACTIVITY_SFW_Magic_Casting; LIGHTING_SFW_Volumetric_Rays. Conflicts: PALETTE_SFW_Monochrome_Noir.,ATMOSPHERE
BASE_SFW_Illustrious_Quality,"masterpiece, best quality, very aesthetic, absurdres, newest, (detailed:1.2), (intricate:1.1), BREAK","lowres, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), text, error, cropped, worst quality, low quality, jpeg artifacts, signature, watermark, blurry, (extra limbs:1.5), (malformed limbs:1.4), (mutation:1.4), (deformed:1.4), nsfw, explicit, nude, naked",Illustrious XL. CFG 6; Euler a; Clip Skip 1-2. Excels at soft aesthetics; expressive eyes; multi-character. Conflicts: do not mix with Pony or NoobAI base.,BASE
BASE_SFW_NoobAI_Quality,"very awa, year 2024, year 2025, newest, source_anime, absurdres, (high resolution:1.1), (intricate details:1.1), BREAK","worst aesthetic, bad aesthetic, lowres, year 2020, year 2021, year 2022, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (extra limbs:1.5), (malformed limbs:1.4), (bad proportions:1.3), (deformed:1.4), blurry, jpeg artifacts, text, watermark, nsfw, explicit, nude, naked",NoobAI XL V-Pred. CFG 1.5-3.0; Rescale CFG 0.7; Euler (NOT Euler a); SGM Uniform; Clip Skip 1. Excels at skin; lighting; action game renders. Conflicts: do not mix with Pony or Illustrious base.,BASE
BASE_SFW_PonyV6_Quality,"score_9, score_8_up, score_7_up, source_anime, (masterpiece:1.2), (best quality:1.2), absurdres, BREAK","score_4, score_5, score_6, source_cartoon, source_pony, source_furry, 3d, realistic, photorealistic, (bad anatomy:1.3), (bad hands:1.4), (mutated hands:1.4), (extra fingers:1.5), (fused fingers:1.5), (missing fingers:1.5), (extra limbs:1.5), (missing limbs:1.4), (malformed limbs:1.4), (bad proportions:1.3), (mutation:1.4), (deformed:1.4), blurry, jpeg artifacts, text, watermark, nsfw, explicit, nude, naked",Pony Diffusion V6. CFG 7; DPM++ 2M Karras; Clip Skip 2. Combos: any. Conflicts: do not mix with Illustrious or NoobAI base.,BASE
BODY_SFW_Androgynous,"1girl, androgynous, (androgynous features:1.2), gender-ambiguous, soft masculine features, neutral body, slim androgynous figure, boyish feminine","obviously feminine, curvy, busty",Androgynous body type. Combos: HAIR_SFW_Short_Bob; OUTFIT_SFW_Streetwear; MOOD_SFW_Mysterious. Unique character type.,BODY
BODY_SFW_Battle_Scars,"1girl, battle scars, scar on face, warrior scars, healed wound scars, tough survivor look","flawless skin, no marks, pristine",Battle-worn scars. Combos: ARCHETYPE_SFW_Warrior; ARCHETYPE_SFW_Kunoichi; MOOD_SFW_Fierce.,BODY
BODY_SFW_Freckles,"1girl, freckles, freckled skin, natural skin, sun freckles, light freckles across nose and cheeks","perfect skin, flawless, no marks",Natural freckles. Combos: any BODY type; SEASON_SFW_Summer_Beach; HAIR_SFW_Colorful_Dye.,BODY
BODY_SFW_Heterochromia,"1girl, (heterochromia:1.3), different colored eyes, odd eyes, one red eye one blue eye, mismatched eyes","same eye color, normal eyes",Heterochromia eyes. Combos: RACE_SFW_Vampire; ARCHETYPE_SFW_Witch; RACE_SFW_Dragon_Girl.,BODY
BODY_SFW_Hourglass_Perfect,"1girl, hourglass figure, perfect proportions, slim waist, wide hips, long legs, graceful build, toned","deformed body, bad proportions, overweight, chubby, male, boy",Ideal proportions. Combos: OUTFIT_Evening_Dress; MOOD_Elegant; CAMERA_Full_Body. Conflicts: BODY_BBW.,BODY
BODY_SFW_Mature_Woman,"1girl, mature female, adult woman, (mature face:1.2), elegant mature beauty, refined features, womanly figure","child, young, teenage, loli, chibi, male, boy, underage",Clearly adult mature woman. Combos: OUTFIT_Business_Suit; MOOD_Confident; ARCHETYPE_Office_Lady. Conflicts: any youthful archetypes.,BODY
BODY_SFW_Muscular_Fit,"1girl, athletic body, toned, (defined muscles:1.2), fit, strong arms, abs, muscular legs, powerful build","weak, frail, chubby, overweight, petite, male, boy",Athletic muscular build. Combos: ARCHETYPE_Kunoichi; OUTFIT_Sportswear; ACTIVITY_Fighting_Pose. Conflicts: BODY_Petite_Small.,BODY
BODY_SFW_Pear_Shaped,"1girl, pear body shape, (wide hips:1.3), narrow shoulders, bottom-heavy figure, wider lower body, slimmer upper body, natural pear silhouette","inverted triangle, broad shoulders, uniform",Pear body shape. Combos: OUTFIT_SFW_Evening_Dress; BODY_SFW_Thicc_Voluptuous (for overlap). Real body diversity.,BODY
BODY_SFW_Petite_Small,"1girl, petite, small frame, delicate body, slim, tiny waist, short stature, slender limbs, dainty","muscular, tall, wide hips, thick thighs, voluptuous, male, boy",Small delicate frame. Combos: ARCHETYPE_Idol; OUTFIT_School_Uniform; MOOD_Shy. Conflicts: BODY_Thicc_Voluptuous; BODY_Muscular_Fit.,BODY
